Artikelbezeichnung;Hersteller;Artikelnummer;Kategoriepfad;Beschreibungsfeld;Bild-Link;Deeplink;Verfuegbarkeit;Bruttopreis;Stattpreis;EAN;Versandkosten;
"Latzhose Workman kornblau";"Reindl";"FA112154";"Haus, Hof und Garten>Arbeitsschutz>Arbeits- und Freizeitkleidung>Hosen";"Klassische Arbeitshose in der Farbe kornblau mit 2 Vorderhosentaschen und 1 Latztasche. Material: 100% Baumwolle, Größen: 48-60";https://www.faie.at/media/image/9c/2e/f9/art_pro_fo_da_80943-1_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/arbeits-und-freizeitkleidung/hosen/5112154/latzhose-workman-kornblau";lagernd (derzeit bis zu 10 Werktage Lieferzeit);14,95;29,95;"9009439059437"; 9,95;
"Latzhose Basic Pro schwarz/rot";"Reindl";"FA112163";"Haus, Hof und Garten>Arbeitsschutz>Arbeits- und Freizeitkleidung>Hosen";"Klassische schwarz-rot kombinierte Arbeitshose mit 2 Vorderhosentaschen, 1 Seitentasche, 1 Zollstabtasche, 1 Latztasche sowie eine Hamnmerschlaufe. Material: 100% Baumwolle, Größen: 48-60";https://www.faie.at/media/image/g0/65/b6/art_pro_fo_da_80944_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/arbeits-und-freizeitkleidung/hosen/5112163/latzhose-basic-pro-schwarz/rot";lagernd (derzeit bis zu 10 Werktage Lieferzeit);14,95;29,95;"9009439405364"; 9,95;
"Bundhose Basic Pro schwarz/rot";"Reindl";"FA112171";"Haus, Hof und Garten>Arbeitsschutz>Arbeits- und Freizeitkleidung>Hosen";"Klassische schwarz-rot kombinierte Arbeitshose mit 2 Vorderhosentaschen, 1 Seitentasche und 1 Zollstabtasche, 1 Hammer- sowie Gürtellaschen. Material: 100% Baumwolle, Größen: 48-62";https://www.faie.at/media/image/b9/c2/75/art_pro_fo_da_80945_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/arbeits-und-freizeitkleidung/hosen/5112171/bundhose-basic-pro-schwarz/rot";lagernd (derzeit bis zu 10 Werktage Lieferzeit);14,95;29,95;"9009439405197"; 9,95;
"Jagd- und Freizeithose oliv";"Reindl";"FA112180";"Haus, Hof und Garten>Arbeitsschutz>Arbeits- und Freizeitkleidung>Hosen";"Klassische kombinierte Arbeitshose in der Farbe oliv mit 2 Vorderhosentaschen, 2 Seitentaschen sowie Gürtelschlaufen. Material: 65% Polyester/35% Baumwolle, Größen: 48-60";https://www.faie.at/media/image/d9/bd/2e/art_pro_fo_da_80946_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/arbeits-und-freizeitkleidung/hosen/5112180/jagd-und-freizeithose-oliv";lagernd (derzeit bis zu 10 Werktage Lieferzeit);14,95;29,95;"9009439339775"; 9,95;
"Ministeck Bauernhof";"keine Angabe";"FA112266";"Spielzeug, Kindersachen>Spielzeug>Spiel & Spaß>Spielsachen";"Dieses Pixelpuzzle von Ministeck enthält etwa 1000 farbige Steine, die man in das Steckbrett Ministeck kann, um lustige Figuren über das Thema Farm zu erstellen. So können Sie mit den Ministeck Steinen wie Kuh, Schwein, Schaf oder Küken verschiedene Tiere machen. Aber vergessen Sie nicht den Bauern auf seinem Traktor oder hinter der Schubkarre. Durch das Spielen mit Ministeck stimulieren Sie feinmotorische Fähigkeiten, Kreativität und Konzentration. Spezifikationen: Farbe: Mehrfarben Geschlecht: Junior Material: Kunststoff Paketabmessungen: 35 x 28 x 8 cm (L x B x H) Abmessungen der Einsteckkarte: 27 x 33 cm (L x B) Alter: ab 4 Jahren";https://www.faie.at/media/image/b1/4d/94/art_pro_fo_ib_112266_200x200.jpg;"https://www.faie.at/spielzeug-kindersachen/spielzeug/spiel-spass/spielsachen/5112266/ministeck-bauernhof";lagernd (derzeit bis zu 10 Werktage Lieferzeit);12,95;15,99;"4250250315836"; 9,95;
"Spielteppich mit Licht";"keine Angabe";"FA112275";"Spielzeug, Kindersachen>Spielzeug>Spiel & Spaß>Spielsachen";"inklusive Lichtintervall bei den Ampeln";https://www.faie.at/media/image/02/00/69/art_pro_fo_ib_112275_200x200.jpg;"https://www.faie.at/spielzeug-kindersachen/spielzeug/spiel-spass/spielsachen/5112275/spielteppich-mit-licht";lagernd (derzeit bis zu 10 Werktage Lieferzeit);22,95;24,90;"8713219380178"; 9,95;
"Holztablett mit Obst";"keine Angabe";"FA112276";"Spielzeug, Kindersachen>Spielzeug>Spiel & Spaß>Spielsachen";"Das Tablett aus Holz mit Obst und Gemüse zum Schneiden darf in keiner Küche fehlen. 16 Teile. Maße : 20,5 x 13,25 cm ab 3 Jahren";https://www.faie.at/media/image/79/83/91/art_pro_fo_ib_112276_200x200.jpg;"https://www.faie.at/spielzeug-kindersachen/spielzeug/spiel-spass/spielsachen/5112276/holztablett-mit-obst";lagernd (derzeit bis zu 10 Werktage Lieferzeit);9,50;11,95;"4008332450070"; 9,95;
"UNO Kartenspiel";"keine Angabe";"FA112281";"Spielzeug, Kindersachen>Spielzeug>Spiel & Spaß>Spiele, Puzzle & Bücher";"Das klassische UNO® ist das wohl beliebteste und bekannteste Kartenspiel der Welt. Das Spiel kann mit 2 bis 10 Spielern gespielt werden und das Ziel dabei ist, als Erster Spieler alle Karten abzulegen. Jedoch sollte man nicht vergessen, bei der vorletzten Karte ”UNO” zu rufen, sonst muss man 2 Strafkarten aufnehmen und weiter spielen. Neben den normalen Karten sorgen dann auch noch die verschiedenen Aktionskarten für reichlich Abwechslung.";https://www.faie.at/media/image/af/f4/ba/art_pro_fo_ib_112281_200x200.jpg;"https://www.faie.at/spielzeug-kindersachen/spielzeug/spiel-spass/spiele-puzzle-buecher/5112281/uno-kartenspiel";lagernd (derzeit bis zu 10 Werktage Lieferzeit);9,95;11,95;""; 9,95;
"Mund-Nasenschutz 10 Stk Packung";"keine Angabe";"FA112321";"Haus, Hof und Garten>Arbeitsschutz>Kopf, Augen, Atem, Gehörschutz>Atemschutz";"Leichter und angenehm zu tragender Mund-Nasenschutz in 10 stk Spar-Packung.";https://www.faie.at/media/image/52/46/5a/art_pro_fo_da_112321-1_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/kopf-augen-atem-gehoerschutz/atemschutz/5112321/mund-nasenschutz-10-stk-packung";lagernd (derzeit bis zu 10 Werktage Lieferzeit);5,99;6,50;"4018653176191"; 9,95;
"Mund-Nasenschutz Promat weiß";"PROMAT";"FA112327";"Haus, Hof und Garten>Arbeitsschutz>Kopf, Augen, Atem, Gehörschutz>Schutzartikel Corona";"Komfortabel zu tragendes Gesichtstuch aus 100% Baumwoller. Waschbar bis 60°C.";https://www.faie.at/media/image/de/e4/2f/art_pro_fo_da_112327_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/kopf-augen-atem-gehoerschutz/schutzartikel-corona/5112327/mund-nasenschutz-promat-weiss";lagernd (derzeit bis zu 10 Werktage Lieferzeit);2,79;3,49;"4058844661976"; 9,95;
"Mund-Nasenschutz Promat blau";"PROMAT";"FA112328";"Haus, Hof und Garten>Arbeitsschutz>Kopf, Augen, Atem, Gehörschutz>Schutzartikel Corona";"Komfortabel zu tragendes Gesichtstuch aus 100% Baumwoller. Waschbar bis 60°C.";https://www.faie.at/media/image/d2/4b/ed/art_pro_fo_da_112328_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/kopf-augen-atem-gehoerschutz/schutzartikel-corona/5112328/mund-nasenschutz-promat-blau";lagernd (derzeit bis zu 10 Werktage Lieferzeit);2,79;3,49;"4058844662096"; 9,95;
"Multi Toast & Grill";"Rommelsbacher";"FA112337";"Haushalt, Gesundheit>Haushalt>Küchengeräte>Elektrogeräte";"Mit diesem 3 in 1 Kombigerät für gefüllte Sandwich Toasts, knusprige Belgische Waffeln oder schmackhaft Gegrilltes trifft man immer den richtigen Geschmack. Hochwertige Alu-Druckguss Wechselplatten, optimale Temperaturregelung, das flexibles Schanier passt die Grillfläche perfekt an die jeweiligen Lebensmittel an. Technische Daten: 230 V ~ 700W schwarz/Edelstahl wärmeisoliertes Gehäuse seperat Ein-/Ausschalter, Backampel platzsparende, senkrechte Aufbewahrung pracktische Kabelaufwicklung leicht zu reinigen Maße (LxBxH): 22,5x23x9cm";https://www.faie.at/media/image/1c/49/cf/art_pro_fo_ia_112337-1_200x200.jpg;"https://www.faie.at/haushalt-gesundheit/haushalt/kuechengeraete/elektrogeraete/5112337/multi-toast-amp-grill";lagernd (derzeit bis zu 10 Werktage Lieferzeit);59,90;69,90;"4001797290007"; 6,95;
"Brotbackautomat BA550";"Rommelsbacher";"FA112340";"Haushalt, Gesundheit>Haushalt>Brotbacken>Backautomaten";"Dieser Brotbackautomat ist perfekt, um selbstgebackenes Brot nach individuellen Rezepten herzustellen. Bestimmen Sie die Zutaten für Ihre Brotrezepturen selbst, ganz natürlich und ohne Zusatz- und Konservierungsstoffe. Auch glutenfreie Rezepte sind möglich. Insgesamt stehen 12 Programme plus 1 freies Programm zur Verfügung, wodurch die unterschiedlichsten Brotsorten gebacken werden können. Lieferumfang: inklusive: Messbecher, Dosierlöffel, Haken. Technische Daten: 230 V ~ 550 W Edelstahl hochwertiges, pflegeleichtes Edelstahl Gehäuse automatisches Zutatenfach für Nüsse/Früchte großes und hinterleuchtetes LCD-Display Bräunungsgrad in 3 Stufen einstellbar Auswahl für 2 Brotgrößen (700 / 900 g) separate Taste für manuelles Backen 13 Stunden Startvorwahl automatische Warmhaltefunktion herausnehmbare 2 Liter Brotbackform abnehmbarer Knethaken hochwertige 3-Lagen Antihaftbeschichtung prakti...";https://www.faie.at/media/image/ee/6c/0c/art_pro_fo_ia_112340-1_200x200.jpg;"https://www.faie.at/haushalt-gesundheit/haushalt/brotbacken/backautomaten/5112340/brotbackautomat-ba550";lagernd (derzeit bis zu 10 Werktage Lieferzeit);109,90;129,90;"4001797900012"; 6,95;
"Geschirrtücher Mikrofaser 10er Set";"keine Angabe";"FA112386";"Haushalt, Gesundheit>Haushalt>Ordnung & Sauberkeit>Reinigungstücher";"Entdecken Sie jetzt die ultimativen Geschirrtücher für Trockenheit und Extra-Glanz im Handumdrehen! Die Mikrofaser-Geschirrtücher ""Chefkoch"" sind im gesamten Haushalt einsetzbar: Die extra weiche Mikrofaser sorgt für schonendes Trocknen von Geschirr und Besteck. Aber auch als Reinigungstücher sind sie extra stark gegen Staub sowie Schmutz und so sensationell saugfähig, dass sie Feuchtigkeit mit einem „Wisch“ verschwinden lassen. Das Mikrofaser-Gewebe absorbiert durch seine Saugfähigkeit enorme Feuchtigkeitsmengen. Dabei fühlt es sich nicht nass an und trocknet bedeutend schneller als herkömmliche Geschirr- oder Reinigungstücher. Details: Material: 90 % Polyester, 10 % Polyamid Maße (L x B): ca. 40 x 60 cm Lieferumfang: 10 Tücher Hinweise: Maschinenwaschbar bei 60 °C. Nicht bleichen. Trommeltrocknen bei niedriger Temperatur. Nicht bügeln. Nicht mit Lösungsmitteln behandeln. Keinen Weic...";https://www.faie.at/media/image/dc/g0/13/art_pro_fo_ia_112386_200x200.jpg;"https://www.faie.at/haushalt-gesundheit/haushalt/ordnung-sauberkeit/reinigungstuecher/5112386/geschirrtuecher-mikrofaser-10er-set";lagernd (derzeit bis zu 10 Werktage Lieferzeit);14,90;19,90;"4016471064546"; 9,95;
"Kinderschaukel flexibel";"keine Angabe";"FA112410";"Spielzeug, Kindersachen>Spielzeug>Spiel & Spaß>Outdoor Spielsachen";"Dieser besonders weiche und elastische Schaukelsitz aus stabilem EVA-Kunststoff passt sich jedem großen und kleinen Himmelsstürmer und erst recht jedem Schaukelspaß flexibel an. Auch Wasser kann dieser Schaukel nichts anhaben. Dadurch kann auch im Herbst und Winter fröhlich bei Wind und Wetter geschaukelt werden. Rutschfest und besonders langlebig! Mit stabilen und längenverstellbaren Seilen und Metallringen zum Aufhängen. max. Belastbarkeit 100 kg Schaukel. 67 x 14 x 1,5 cm";https://www.faie.at/media/image/5f/a5/0b/art_pro_fo_ib_112410_200x200.jpg;"https://www.faie.at/spielzeug-kindersachen/spielzeug/spiel-spass/outdoor-spielsachen/5112410/kinderschaukel-flexibel";lagernd (derzeit bis zu 10 Werktage Lieferzeit);19,95;24,95;"4020972115850"; 9,95;
"Aufbewahrungsbeutel für Baguette";"keine Angabe";"FA112439";"Haushalt, Gesundheit>Haushalt>Brotbacken>Zubehör Brotbacken";"Praktischer Beutel aus Baumwolle, mit Innenbeschichtung und Zugband zum Aufhängen. Maße: 19x70 cm";https://www.faie.at/media/image/4f/43/a3/art_pro_fo_ia_112439_200x200.jpg;"https://www.faie.at/haushalt-gesundheit/haushalt/brotbacken/zubehoer-brotbacken/5112439/aufbewahrungsbeutel-fuer-baguette";lagernd (derzeit bis zu 10 Werktage Lieferzeit);4,99;6,99;"4014544800107"; 9,95;
"Aufbewahrungsbeutel für Knoblauch";"keine Angabe";"FA112440";"Haushalt, Gesundheit>Haushalt>Brotbacken>Zubehör Brotbacken";"Praktischer Beutel zum luftig und lichtgeschützen Lagern, aus Leinen, Innenfutter aus luftdurchlässigem Vlies, mit Zugband und seitlichem Zipper zum Entnehmen. Maße: 32x20 cm.";https://www.faie.at/media/image/bc/e7/9f/art_pro_fo_ia_112440_200x200.jpg;"https://www.faie.at/haushalt-gesundheit/haushalt/brotbacken/zubehoer-brotbacken/5112440/aufbewahrungsbeutel-fuer-knoblauch";lagernd (derzeit bis zu 10 Werktage Lieferzeit);4,99;6,99;"4014544800114"; 9,95;
"Akku-Bohrschrauber Metabo Power-Maxx BS 12V";"Metabo";"FA112444";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Elektrowerkzeuge>Akku Maschinen>Bohrschrauber";"Leichter Bohrschrauber mit extrem kurzer Bauform, daher Ideal für Bohrarbeiten an schwierigen Stellen oder für alle Schraubarbeiten. Integriertes Arbeitslicht für optimale Arbeitsfeldausleuchtung. Kompakter 12V Motor mit max 34Nm Drehmoment und einer Bohrleistung bis zu 18mm. Top Ausstattung mit 2-Gang-Getriebe, 10mm Schnellspannbohrfutter, Gürtelhaken und Spindel mit Bit-Aufnahme. Komplett Set inkl. Maschine, Ladegerät und 2 stk Li-Power Akkus 12V/2,0Ah. Idealer Marken- Bohrschrauber für den universellen Einsatz jetzt für kurze Zeit zum Aktionspreis.";https://www.faie.at/media/image/41/e8/6f/art_pro_fo_aa_112444_v2_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/elektrowerkzeuge/akku-maschinen/bohrschrauber/5112444/akku-bohrschrauber-metabo-power-maxx-bs-12v";lagernd (derzeit bis zu 10 Werktage Lieferzeit);119,95;179,90;"4061792188242"; 6,95;
"Notstromgenerator PG-E 100 TEA";"Unicraft";"FA112501";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Maschinen und Geräte>Notstromgeneratoren>Motor-Generatoren";"Leistungsstarker Generator für sichere Stromversorgung auch bei mehreren Verbraucher. Der Synchron Generator leistet 3,68KW ( 230 Volt) 11 KW ( 400V) in der Spitze bzw. 3,45 und 10KW als Dauerleistung. Durch die AVR-Regelung sicherer Betrieb empflindlicher Elektronsicher Geräte. Der große Tank bitte eine Laufzeit bis zu 10 Std ( bei 50% Last ) und damit einen ungestörten Betrieb über einen längeren Zeitraum. Der Antrieb erfolgt über einen 14KW/19 PS starken 4-Takt Motor mit E-Start und Ölmangelschaltung. Komplette Ausstattung mit 1x Steckdose 400V, 1x Schuko 230V, 1x CCE 230V 16A und Fahrwerk für den einfachen Transport. Technische Daten: LXBXH: 73x60x91cm, Eigenwewicht 170kg, Schutzart: Generator: IP23, Steckdosen: IP44.";https://www.faie.at/media/image/0a/09/c8/art_pro_fo_ac_112501-1_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/maschinen-und-geraete/notstromgeneratoren/motor-generatoren/5112501/notstromgenerator-pg-e-100-tea";nicht lagernd (10-14 Werktage Lieferzeit);2990,00;3450,00;"4036351297536"; 25;
"Dampfbügelstation 2400 Watt DBS 300";"Silva-Schneider";"FA112513";"Haushalt, Gesundheit>Haushalt>Ordnung & Sauberkeit>Wäsche & Co.";"Leistung: max. 2400 Watt Wassertank 2 l Keramik-Sohle 22,5 x 11,2 cm max. Dampfleistung 125 g / Min. automatische Dampfanpassung Ein-/Ausschalter mit Betriebskontrolllampe Bügelvarianten: trocken, sprühen, dampfbügeln, vertikal dampfbügeln, Anti-Tropf-Funktion Anti-Kalk-Funktion Selbstreinigungsfunktion Automatische Abschaltung Dampfleitung 1,5 m Wasserpumpe max. 5 bar Softgrip-Griff Besonderheiten: + Wasser während des Bügelns nachfüllbar + Konstante Dampfmenge + Wasser wird durch den Schlauch gepumpt, Dampf wird in Durchlauferhitzer erhitzt und an Bügelsohle verdampft.";https://www.faie.at/media/image/77/77/67/art_pro_fo_ia_112513_200x200.jpg;"https://www.faie.at/haushalt-gesundheit/haushalt/ordnung-sauberkeit/waesche-co./5112513/dampfbuegelstation-2400-watt-dbs-300";lagernd (derzeit bis zu 10 Werktage Lieferzeit);59,90;69,90;"9004489110022"; 6,95;
"Blechschild Milch";"keine Angabe";"FA112550";"Fachbücher, DVD, Kalender>Blechschilder,Geschenke u.Co.>Landwirtschaft und Traktoren>Landwirtschaft";"Wellblechschild Milch mit Juteseil. Maße: 28x40cm.";https://www.faie.at/media/image/01/a5/38/art_pro_fo_ia_112550_200x200.jpg;"https://www.faie.at/fachbuecher-dvd-kalender/blechschilder-geschenke-u.co./landwirtschaft-und-traktoren/landwirtschaft/5112550/blechschild-milch";lagernd (derzeit bis zu 10 Werktage Lieferzeit);6,99;9,99;"8714982127656"; 9,95;
"Tücher 6er Pkg. für Gläser";"keine Angabe";"FA112558";"Haushalt, Gesundheit>Haushalt>Einkochen & Haltbarmachen>Flaschen - Gläser - Deckel";"Selbstgemachte Marmelade ist köstlich, und die Zubereitung macht Spaß. Mit den Stoffcovern im traditionellen Karomuster verwandeln Sie ein schlichtes Marmeladenglas in ein dekoratives Mitbringsel für besondere Anlässe. Diese werden mit einem Bändchen oder Gummiband um den Glashals befestigt Geeignet für jedes Glas. Set mit 6 Covern und Ø 16cm.";https://www.faie.at/media/image/fc/d0/7a/art_pro_fo_ia_112558_200x200.jpg;"https://www.faie.at/haushalt-gesundheit/haushalt/einkochen-haltbarmachen/flaschen-glaeser-deckel/5112558/tuecher-6er-pkg.-fuer-glaeser";lagernd (derzeit bis zu 10 Werktage Lieferzeit);1,29;1,99;"8714982108365"; 9,95;
"Strohhalme 6er Set mit Bürste";"keine Angabe";"FA112581";"Haushalt, Gesundheit>Haushalt>Zu Tisch>Besteck";"Reduzieren Sie den Plastikverbrauch und verwenden Sie Bambus Strohhalme. Diese nachhaltigen Bambus Strohhalme sind verwendbar. Mit Seifenwasser und der mitgelieferten Bürste leicht zu reinigen. Maße:";https://www.faie.at/media/image/7e/53/87/art_pro_fo_ia_112581_200x200.jpg;"https://www.faie.at/haushalt-gesundheit/haushalt/zu-tisch/besteck/5112581/strohhalme-6er-set-mit-buerste";lagernd (derzeit bis zu 10 Werktage Lieferzeit);3,99;4,99;"8714982167898"; 9,95;
"Schweißgerät SYN-MIG 253i SC - Set";"Schweißkraft";"FA112849";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Maschinen und Geräte>Schweißgeräte>Schutzgasschweißer";"Universal Schutzgasschweißer für das Bearbeiten von Stahl, Edelstahl und Aluminium. Durch die Synergie-Funktion einfaches Einstellen des Gerätes: 1) Gas ( CO2/Mischgas/Argon), Material und Drahtstärke, 2) 2/4 Takt, Punkt oder Intervallschweißen, 3) Materialstärke. Durch stufenlose Regelung ist ein Feineinstellung natürlich jederzeit möglich. Leistung: 25-250 Amp, Einschaltdauer 60%! bei 40°, Leistungsaufnahme 7,5KW/400 Volt, Eigengewicht ca.30 Kg. Ideales Universalgerät für Schlosserei, Maschinenbau, Landwirtschaft oder den anspruchsvollen Privatanwender. Komplett mit Massekabel, Brenner SMB35/3, Vorschubrollen 0,8 /1,0mm, Druckminderer und Schweißschirm Vario Protect XXL-W.";https://www.faie.at/media/image/f6/4e/05/art_pro_fo_ac_112849_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/maschinen-und-geraete/schweissgeraete/schutzgasschweisser/5112849/schweissgeraet-syn-mig-253i-sc-set";lagernd (derzeit bis zu 10 Werktage Lieferzeit);2190,00;2498,00;"4036351302483"; 0;
"Schweißgerät Craft-Mig 253 Pulse-Kombi-Set";"Schweißkraft";"FA112860";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Maschinen und Geräte>Schweißgeräte>Inverter, Elektroschweißer";"Das Universalgenie! Impuls-Schutzgasschweißer für den Einsatz mit Brenner MB25/3, Elektroden oder WIG. Durch Synergie-Funktion einfaches Einstellen auf das zu schweißende Werkstück. Leistungsbereich 10 - 250 Amp. Komplettes Set inkl. Schweißbrenner, Elektrodenkabel, WIG-Schweißbrenner SR26 4m, Gasschlauch, Druckminderer, Förderrolle 0,8/1,0 für Stahl sowie VarioProtect XXL-W Schweißkopfschirm.";https://www.faie.at/media/image/ae/69/15/art_pro_fo_ac_112860_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/maschinen-und-geraete/schweissgeraete/inverter-elektroschweisser/5112860/schweissgeraet-craft-mig-253-pulse-kombi-set";lagernd (derzeit bis zu 10 Werktage Lieferzeit);1998,00;2399,00;"4036351286332"; 0;
"Weste Cetona, camouflage";"keine Angabe";"FA112873";"Haus, Hof und Garten>Arbeitsschutz>Arbeits- und Freizeitkleidung>Jacken, Mäntel, Westen, Shirts";"Robuste Funktionsweste mit warmer Wattierung, Kinnschutz, Windschutzleiste, 2 Seitentaschen mit Reißverschluss, 1 Brusttasche, 1 Innentasche. Reflektoren hinten, aufgesetzte Werkzeug- und Stifttaschen. Obermaterial: 65% Polyester, 35% Baumwolle Futter : 100% Polyester Wattierung: 100% Polyester";https://www.faie.at/media/image/09/e5/03/art_pro_fo_da_112873_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/arbeits-und-freizeitkleidung/jacken-maentel-westen-shirts/5112873/weste-cetona-camouflage";lagernd (derzeit bis zu 10 Werktage Lieferzeit);29,95;39,95;"4031973097229"; 6,95;
"Rolly Toys Steyr 6300 Terrus CVT mit Luftbereifung Farmtrac";"keine Angabe";"FA112891";"Spielzeug, Kindersachen>Spielzeug>Kinderfahrzeuge>Kindertraktoren, Bagger & Co.";"Alter: 3 - 8 Jahre inkl. rollyTrac Lader Frontlader kinderleicht anbaubar Frontlader kinderleicht abnehmbar Luftbereifung Sitz verstellbar Überrollbügel Motorhaube zu öffnen Ablagefach unter Motorhaube Front- und Heckkupplung optimierter Wendekreis durch Achsschenkellenkung Kettenspannung einstellbar geschützter Kettenantrieb robuste Lenkstange Funktionszubehör nachrüstbar";https://www.faie.at/media/image/f3/25/f8/art_pro_fo_ib_112891_200x200.jpg;"https://www.faie.at/spielzeug-kindersachen/spielzeug/kinderfahrzeuge/kindertraktoren-bagger-co./5112891/rolly-toys-steyr-6300-terrus-cvt-mit-luftbereifung-farmtrac";lagernd (derzeit bis zu 10 Werktage Lieferzeit);314,10;349,00;""; 0;
